Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-07-13,Thunderbolts*,2025,https://boxd.it/ajncGl,4,Yes,,2025-07-12
2025-07-30,Just Mercy,2019,https://boxd.it/awUjit,3.5,,,2025-07-29
